@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
37,0,307,180,0.63039,1,0.107558,1,0.892442,0.194226,0.656489,1.523256,0
37,0,306,181,0.628337,1,0.107872,1,0.892128,0.194737,0.65458,1.527697,0
37,0,305,182,0.626283,1,0.108187,1,0.891813,0.195251,0.652672,1.532164,0
37,0,304,183,0.62423,1,0.108504,1,0.891496,0.195767,0.650763,1.536657,0
37,0,303,184,0.622177,1,0.108824,1,0.891176,0.196286,0.648855,1.541176,0
37,0,302,185,0.620123,1,0.109145,1,0.890855,0.196809,0.646947,1.545723,0
37,0,301,186,0.61807,1,0.109467,1,0.890533,0.197333,0.645038,1.550296,0
37,0,300,187,0.616016,1,0.109792,1,0.890208,0.197861,0.64313,1.554896,0
37,0,299,188,0.613963,1,0.110119,1,0.889881,0.198391,0.641221,1.559524,0
37,0,298,189,0.61191,1,0.110448,1,0.889552,0.198925,0.639313,1.564179,0
37,0,297,190,0.609856,1,0.110778,1,0.889222,0.199461,0.637405,1.568862,0
37,0,296,191,0.607803,1,0.111111,1,0.888889,0.2,0.635496,1.573574,0
37,0,295,192,0.605749,1,0.111446,1,0.888554,0.200542,0.633588,1.578313,0
37,0,294,193,0.603696,1,0.111782,1,0.888218,0.201087,0.631679,1.583082,0
37,0,293,194,0.601643,1,0.112121,1,0.887879,0.201635,0.629771,1.587879,0
37,0,292,195,0.599589,1,0.112462,1,0.887538,0.202186,0.627863,1.592705,0
37,0,291,196,0.597536,1,0.112805,1,0.887195,0.20274,0.625954,1.597561,0
37,0,290,197,0.595483,1,0.11315,1,0.88685,0.203297,0.624046,1.602446,0
37,0,289,198,0.593429,1,0.113497,1,0.886503,0.203857,0.622137,1.607362,0
37,0,288,199,0.591376,1,0.113846,1,0.886154,0.20442,0.620229,1.612308,0
37,0,287,200,0.589322,1,0.114198,1,0.885802,0.204986,0.618321,1.617284,0
37,0,286,201,0.587269,1,0.114551,1,0.885449,0.205556,0.616412,1.622291,0
37,0,285,202,0.585216,1,0.114907,1,0.885093,0.206128,0.614504,1.627329,0
37,0,284,203,0.583162,1,0.115265,1,0.884735,0.206704,0.612595,1.632399,0
37,0,283,204,0.581109,1,0.115625,1,0.884375,0.207283,0.610687,1.6375,0
37,0,282,205,0.579055,1,0.115987,1,0.884013,0.207865,0.608779,1.642633,0
37,0,281,206,0.577002,1,0.116352,1,0.883648,0.208451,0.60687,1.647799,0
37,0,280,207,0.574949,1,0.116719,1,0.883281,0.20904,0.604962,1.652997,0
37,0,279,208,0.572895,1,0.117089,1,0.882911,0.209632,0.603053,1.658228,0
37,0,278,209,0.570842,1,0.11746,1,0.88254,0.210227,0.601145,1.663492,0
37,0,277,210,0.568789,1,0.117834,1,0.882166,0.210826,0.599237,1.66879,0
37,0,276,211,0.566735,1,0.118211,1,0.881789,0.211429,0.597328,1.674121,0
37,0,275,212,0.564682,1,0.11859,1,0.88141,0.212034,0.59542,1.679487,0
37,0,274,213,0.562628,1,0.118971,1,0.881029,0.212644,0.593511,1.684887,0
37,0,273,214,0.560575,1,0.119355,1,0.880645,0.213256,0.591603,1.690323,0
37,0,272,215,0.558522,1,0.119741,1,0.880259,0.213873,0.589695,1.695793,0
37,0,271,216,0.556468,1,0.12013,1,0.87987,0.214493,0.587786,1.701299,0
37,0,270,217,0.554415,1,0.120521,1,0.879479,0.215116,0.585878,1.70684,0
37,0,269,218,0.552361,1,0.120915,1,0.879085,0.215743,0.583969,1.712418,0
37,0,268,219,0.550308,1,0.121311,1,0.878689,0.216374,0.582061,1.718033,0
37,0,267,220,0.548255,1,0.121711,1,0.878289,0.217009,0.580153,1.723684,0
