@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
44,1,377,102,0.787056,0.977778,0.104513,0.977778,0.895487,0.188841,0.803435,1.216997,0
44,1,376,103,0.784969,0.977778,0.104762,0.977778,0.895238,0.189247,0.801527,1.219894,0
44,1,375,104,0.782881,0.977778,0.105012,0.977778,0.894988,0.189655,0.799618,1.222806,0
44,1,374,105,0.780793,0.977778,0.105263,0.977778,0.894737,0.190065,0.79771,1.225731,0
44,1,373,106,0.778706,0.977778,0.105516,0.977778,0.894484,0.190476,0.795802,1.22867,0
44,1,372,107,0.776618,0.977778,0.105769,0.977778,0.894231,0.190889,0.793893,1.231624,0
44,1,371,108,0.77453,0.977778,0.106024,0.977778,0.893976,0.191304,0.791985,1.234592,0
44,1,370,109,0.772443,0.977778,0.10628,0.977778,0.89372,0.191721,0.790076,1.237574,0
44,1,369,110,0.770355,0.977778,0.106538,0.977778,0.893462,0.19214,0.788168,1.24057,0
44,1,368,111,0.768267,0.977778,0.106796,0.977778,0.893204,0.19256,0.78626,1.243581,0
44,1,367,112,0.76618,0.977778,0.107056,0.977778,0.892944,0.192982,0.784351,1.246607,0
44,1,366,113,0.764092,0.977778,0.107317,0.977778,0.892683,0.193407,0.782443,1.249648,0
44,1,365,114,0.762004,0.977778,0.107579,0.977778,0.892421,0.193833,0.780534,1.252703,0
44,1,364,115,0.759916,0.977778,0.107843,0.977778,0.892157,0.19426,0.778626,1.255773,0
44,1,363,116,0.757829,0.977778,0.108108,0.977778,0.891892,0.19469,0.776718,1.258859,0
44,1,362,117,0.755741,0.977778,0.108374,0.977778,0.891626,0.195122,0.774809,1.261959,0
44,1,361,118,0.753653,0.977778,0.108642,0.977778,0.891358,0.195556,0.772901,1.265075,0
44,1,360,119,0.751566,0.977778,0.108911,0.977778,0.891089,0.195991,0.770992,1.268207,0
44,1,359,120,0.749478,0.977778,0.109181,0.977778,0.890819,0.196429,0.769084,1.271354,0
44,1,358,121,0.74739,0.977778,0.109453,0.977778,0.890547,0.196868,0.767176,1.274516,0
44,1,357,122,0.745303,0.977778,0.109726,0.977778,0.890274,0.197309,0.765267,1.277695,0
44,1,356,123,0.743215,0.977778,0.11,0.977778,0.89,0.197753,0.763359,1.280889,0
44,1,355,124,0.741127,0.977778,0.110276,0.977778,0.889724,0.198198,0.76145,1.284099,0
44,1,354,125,0.73904,0.977778,0.110553,0.977778,0.889447,0.198646,0.759542,1.287326,0
44,1,353,126,0.736952,0.977778,0.110831,0.977778,0.889169,0.199095,0.757634,1.290568,0
44,1,352,127,0.734864,0.977778,0.111111,0.977778,0.888889,0.199546,0.755725,1.293827,0
44,1,351,128,0.732777,0.977778,0.111392,0.977778,0.888608,0.2,0.753817,1.297103,0
44,1,350,129,0.730689,0.977778,0.111675,0.977778,0.888325,0.200456,0.751908,1.300395,0
44,1,349,130,0.728601,0.977778,0.111959,0.977778,0.888041,0.200913,0.75,1.303704,0
44,1,348,131,0.726514,0.977778,0.112245,0.977778,0.887755,0.201373,0.748092,1.307029,0
44,1,347,132,0.724426,0.977778,0.112532,0.977778,0.887468,0.201835,0.746183,1.310372,0
44,1,346,133,0.722338,0.977778,0.112821,0.977778,0.887179,0.202299,0.744275,1.313732,0
44,1,345,134,0.720251,0.977778,0.113111,0.977778,0.886889,0.202765,0.742366,1.317109,0
